Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add_birds,Edge Chromium 124,,,23-04-2024 17:13:00,23-04-2024 17:15:19,2m - 19.764s,PASSED
,,,,,,,
Test Cases/petstore/Add_birds,Edge Chromium 124,,,23-04-2024 17:13:01,23-04-2024 17:15:19,2m - 18.116s,PASSED
"openBrowser("""")",Edge Chromium 124,,,23-04-2024 17:13:03,23-04-2024 17:13:34,30.098s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Edge Chromium 124,,,23-04-2024 17:13:34,23-04-2024 17:13:40,6.222s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign In (4)""))",Edge Chromium 124,,,23-04-2024 17:13:40,23-04-2024 17:13:45,5.614s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_username (4)""), ""Debahuti"")",Edge Chromium 124,,,23-04-2024 17:13:45,23-04-2024 17:14:51,1m - 5.191s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password (4)""), ""gx5eF5RZOCViIDRmNDPMxg=="")",Edge Chromium 124,,,23-04-2024 17:14:51,23-04-2024 17:14:52,1.329s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_signon (4)""))",Edge Chromium 124,,,23-04-2024 17:14:52,23-04-2024 17:14:54,1.788s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img (3)""))",Edge Chromium 124,,,23-04-2024 17:14:54,23-04-2024 17:14:55,1.557s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_AV-CB-01""))",Edge Chromium 124,,,23-04-2024 17:14:55,23-04-2024 17:14:57,1.999s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart (3)""))",Edge Chromium 124,,,23-04-2024 17:14:57,23-04-2024 17:15:00,2.599s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input_false_EST-18""), ""6"")",Edge Chromium 124,,,23-04-2024 17:15:00,23-04-2024 17:15:04,4.163s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Sub Total 193.50_updateCartQuantities""))",Edge Chromium 124,,,23-04-2024 17:15:04,23-04-2024 17:15:07,2.728s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Proceed to Checkout (3)""))",Edge Chromium 124,,,23-04-2024 17:15:07,23-04-2024 17:15:10,2.904s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Ship to different address_newOrder (3)""))",Edge Chromium 124,,,23-04-2024 17:15:10,23-04-2024 17:15:12,1.917s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Confirm (2)""))",Edge Chromium 124,,,23-04-2024 17:15:12,23-04-2024 17:15:14,2.300s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign Out (3)""))",Edge Chromium 124,,,23-04-2024 17:15:14,23-04-2024 17:15:16,1.713s,PASSED
closeBrowser(),Edge Chromium 124,,,23-04-2024 17:15:16,23-04-2024 17:15:19,3.748s,PASSED
