Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add_to_cart,Edge Chromium 124,,,24-04-2024 18:11:25,24-04-2024 18:11:53,28.326s,PASSED
,,,,,,,
Test Cases/Swag_Lab/add_to_cart,Edge Chromium 124,,,24-04-2024 18:11:26,24-04-2024 18:11:53,27.653s,PASSED
"openBrowser("""")",Edge Chromium 124,,,24-04-2024 18:11:27,24-04-2024 18:11:37,10.091s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,24-04-2024 18:11:37,24-04-2024 18:11:40,3.589s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac (1)""))",Edge Chromium 124,,,24-04-2024 18:11:40,24-04-2024 18:11:41,0.984s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac (1)""), ""standard_user"")",Edge Chromium 124,,,24-04-2024 18:11:41,24-04-2024 18:11:43,1.528s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9 (1)""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,24-04-2024 18:11:43,24-04-2024 18:11:44,1.138s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71 (1)""))",Edge Chromium 124,,,24-04-2024 18:11:44,24-04-2024 18:11:46,1.638s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:46,24-04-2024 18:11:47,0.865s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:47,24-04-2024 18:11:47,0.587s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:47,24-04-2024 18:11:48,0.526s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:48,24-04-2024 18:11:48,0.534s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:48,24-04-2024 18:11:49,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 124,,,24-04-2024 18:11:49,24-04-2024 18:11:49,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/svg_Open Menu_svg-inline--fa fa-shopping-ca_f4ec0f""))",Edge Chromium 124,,,24-04-2024 18:11:49,24-04-2024 18:11:50,0.732s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Continue Shopping""))",Edge Chromium 124,,,24-04-2024 18:11:50,24-04-2024 18:11:51,0.624s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu (1)""))",Edge Chromium 124,,,24-04-2024 18:11:51,24-04-2024 18:11:51,0.521s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout (1)""))",Edge Chromium 124,,,24-04-2024 18:11:51,24-04-2024 18:11:52,0.681s,PASSED
closeBrowser(),Edge Chromium 124,,,24-04-2024 18:11:52,24-04-2024 18:11:53,1.295s,PASSED
