Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Remove_item,Edge Chromium 124,,,28-04-2024 11:36:43,28-04-2024 11:37:48,1m - 5.094s,PASSED
,,,,,,,
Test Cases/Swag_Lab/Remove_item,Edge Chromium 124,,,28-04-2024 11:36:46,28-04-2024 11:37:48,1m - 2.565s,PASSED
"openBrowser("""")",Edge Chromium 124,,,28-04-2024 11:36:48,28-04-2024 11:37:04,15.496s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,28-04-2024 11:37:04,28-04-2024 11:37:06,2.227s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac (2)""))",Edge Chromium 124,,,28-04-2024 11:37:06,28-04-2024 11:37:08,1.940s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac (2)""), ""standard_user"")",Edge Chromium 124,,,28-04-2024 11:37:08,28-04-2024 11:37:11,3.094s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9 (2)""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,28-04-2024 11:37:11,28-04-2024 11:37:14,2.917s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71 (2)""))",Edge Chromium 124,,,28-04-2024 11:37:14,28-04-2024 11:37:17,2.827s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:17,28-04-2024 11:37:18,1.644s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:18,28-04-2024 11:37:19,1.151s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:19,28-04-2024 11:37:21,1.035s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:21,28-04-2024 11:37:22,1.006s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:22,28-04-2024 11:37:23,1.186s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_ADD TO CART (2)""))",Edge Chromium 124,,,28-04-2024 11:37:23,28-04-2024 11:37:24,1.130s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/path (1)""))",Edge Chromium 124,,,28-04-2024 11:37:24,28-04-2024 11:37:27,3.158s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Continue Shopping (1)""))",Edge Chromium 124,,,28-04-2024 11:37:27,28-04-2024 11:37:28,1.393s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/path (1)""))",Edge Chromium 124,,,28-04-2024 11:37:28,28-04-2024 11:37:30,1.553s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_CHECKOUT (1)""))",Edge Chromium 124,,,28-04-2024 11:37:30,28-04-2024 11:37:31,1.124s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_first-name (1)""), ""d"")",Edge Chromium 124,,,28-04-2024 11:37:31,28-04-2024 11:37:32,1.307s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_last-name (1)""), ""p"")",Edge Chromium 124,,,28-04-2024 11:37:32,28-04-2024 11:37:33,1.046s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_postal-code (1)""), ""123456"")",Edge Chromium 124,,,28-04-2024 11:37:33,28-04-2024 11:37:35,1.146s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_CANCEL_btn_primary cart_button (1)""))",Edge Chromium 124,,,28-04-2024 11:37:35,28-04-2024 11:37:36,1.262s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_FINISH (1)""))",Edge Chromium 124,,,28-04-2024 11:37:36,28-04-2024 11:37:37,1.083s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/h2_THANK YOU FOR YOUR ORDER (1)""), ""THANK YOU FOR YOUR ORDER"")",Edge Chromium 124,,,28-04-2024 11:37:37,28-04-2024 11:37:38,1.055s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu (2)""))",Edge Chromium 124,,,28-04-2024 11:37:38,28-04-2024 11:37:39,0.993s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout (2)""))",Edge Chromium 124,,,28-04-2024 11:37:39,28-04-2024 11:37:41,1.573s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 11:37:41,28-04-2024 11:37:48,7.641s,PASSED
